episode_index,total_reward,total_time,tests_run,bugs_found,strategy_index,strategy_name,changed_module,change_size
0,-12.91533892112788,218.3067784225576,20,0,-1,baseline_fixed_order,checkout,medium
1,-4.109219039592708,242.18438079185415,20,1,-1,baseline_fixed_order,auth,small
2,-13.234444735486647,224.68889470973286,20,0,-1,baseline_fixed_order,search,large
3,-13.209797100478593,224.19594200957187,20,0,-1,baseline_fixed_order,notifications,small
4,-3.8591147579345186,237.18229515869035,20,1,-1,baseline_fixed_order,profile,medium
5,-3.672258648155326,233.44517296310653,20,1,-1,baseline_fixed_order,payments,medium
6,-4.321321665564182,246.4264333112836,20,1,-1,baseline_fixed_order,checkout,medium
7,-13.51528072338958,230.30561446779163,20,0,-1,baseline_fixed_order,checkout,small
8,-14.023382250980047,240.46764501960087,20,0,-1,baseline_fixed_order,search,small
9,-13.664838900861877,233.2967780172375,20,0,-1,baseline_fixed_order,search,large
10,-13.771589270155483,235.43178540310961,20,0,-1,baseline_fixed_order,auth,medium
11,16.96903444948213,220.61931101035742,20,3,-1,baseline_fixed_order,payments,large
12,-12.847592449765022,216.9518489953004,20,0,-1,baseline_fixed_order,auth,large
13,-13.704511160471858,234.09022320943708,20,0,-1,baseline_fixed_order,notifications,medium
14,-13.819273120128294,236.38546240256585,20,0,-1,baseline_fixed_order,payments,large
15,-33.15930383365706,223.18607667314126,20,0,-1,baseline_fixed_order,notifications,medium
16,-13.486647681104436,229.73295362208873,20,0,-1,baseline_fixed_order,checkout,medium
17,-3.4724220489659916,229.44844097931983,20,1,-1,baseline_fixed_order,checkout,small
18,16.283384569640784,234.33230860718433,20,3,-1,baseline_fixed_order,auth,small
19,-12.954711678914567,219.09423357829138,20,0,-1,baseline_fixed_order,checkout,small
20,-13.35827370642487,227.1654741284974,20,0,-1,baseline_fixed_order,auth,small
21,-12.922494766973472,218.44989533946944,20,0,-1,baseline_fixed_order,search,medium
22,-33.24751479275182,224.95029585503636,20,0,-1,baseline_fixed_order,payments,medium
23,-33.29182751569533,225.8365503139065,20,0,-1,baseline_fixed_order,checkout,small
24,-13.190420946344732,223.80841892689457,20,0,-1,baseline_fixed_order,payments,medium
25,-13.310600786783002,226.21201573566003,20,0,-1,baseline_fixed_order,checkout,medium
26,-13.7940339525024,235.88067905004803,20,0,-1,baseline_fixed_order,profile,small
27,-13.725701408660566,234.51402817321136,20,0,-1,baseline_fixed_order,checkout,small
28,-13.279809711016522,225.5961942203304,20,0,-1,baseline_fixed_order,notifications,medium
29,-13.642105164262935,232.8421032852586,20,0,-1,baseline_fixed_order,profile,large
30,-3.9048538864809634,238.0970777296193,20,1,-1,baseline_fixed_order,notifications,medium
31,-13.696583023370195,233.9316604674039,20,0,-1,baseline_fixed_order,payments,small
32,-13.71825090568226,234.36501811364508,20,0,-1,baseline_fixed_order,notifications,small
33,-13.243473403157296,224.86946806314586,20,0,-1,baseline_fixed_order,payments,large
34,-13.031920103760433,220.63840207520863,20,0,-1,baseline_fixed_order,checkout,small
35,-13.951647211975846,239.03294423951692,20,0,-1,baseline_fixed_order,auth,medium
36,-33.83320228842926,236.66404576858528,20,0,-1,baseline_fixed_order,search,large
37,-12.910843042306686,218.2168608461337,20,0,-1,baseline_fixed_order,notifications,large
38,-3.746455584115224,234.92911168230447,20,1,-1,baseline_fixed_order,checkout,small
39,-13.474945275994576,229.49890551989148,20,0,-1,baseline_fixed_order,checkout,medium
40,-3.8126356574570184,236.25271314914033,20,1,-1,baseline_fixed_order,checkout,medium
41,-3.6618272860275787,233.23654572055156,20,1,-1,baseline_fixed_order,checkout,medium
42,-33.36777112118841,227.35542242376812,20,0,-1,baseline_fixed_order,profile,medium
43,-12.578901177560715,211.57802355121424,20,0,-1,baseline_fixed_order,payments,medium
44,-3.876678251600204,237.53356503200405,20,1,-1,baseline_fixed_order,checkout,small
45,-3.3301038374996903,226.60207674999378,20,1,-1,baseline_fixed_order,profile,medium
46,-33.96303695313489,239.26073906269772,20,0,-1,baseline_fixed_order,checkout,large
47,5.9093131503290905,241.81373699341822,20,2,-1,baseline_fixed_order,notifications,small
48,-13.483474436379863,229.66948872759724,20,0,-1,baseline_fixed_order,payments,large
49,-13.778558273243641,235.57116546487288,20,0,-1,baseline_fixed_order,profile,small
50,-13.712925410667319,234.2585082133464,20,0,-1,baseline_fixed_order,notifications,small
51,-13.125098922069702,222.5019784413941,20,0,-1,baseline_fixed_order,auth,small
52,6.455551560105398,230.88896879789203,20,2,-1,baseline_fixed_order,profile,large
53,-4.2220803513115905,244.44160702623185,20,1,-1,baseline_fixed_order,auth,medium
54,-13.594461183485747,231.88922366971488,20,0,-1,baseline_fixed_order,notifications,medium
55,5.798097189040572,244.03805621918858,20,2,-1,baseline_fixed_order,checkout,small
56,-3.548309820234888,230.96619640469777,20,1,-1,baseline_fixed_order,payments,medium
57,5.767816202134738,244.64367595730525,20,2,-1,baseline_fixed_order,auth,medium
58,-33.25922128072145,225.1844256144289,20,0,-1,baseline_fixed_order,checkout,medium
59,-4.302958485650176,246.05916971300348,20,1,-1,baseline_fixed_order,search,medium
60,16.581600631716697,228.3679873656661,20,3,-1,baseline_fixed_order,profile,medium
61,6.298449590512249,234.0310081897549,20,2,-1,baseline_fixed_order,auth,small
62,6.627094365699856,227.4581126860029,20,2,-1,baseline_fixed_order,payments,medium
63,-33.237689281334085,224.75378562668166,20,0,-1,baseline_fixed_order,notifications,small
64,6.2921990337709195,234.15601932458162,20,2,-1,baseline_fixed_order,notifications,large
65,-13.536462936512736,230.72925873025483,20,0,-1,baseline_fixed_order,checkout,large
66,5.908579113839874,241.82841772320256,20,2,-1,baseline_fixed_order,checkout,large
