episode_index,total_reward,total_time,tests_run,bugs_found,strategy_index,strategy_name,changed_module,change_size
0,-2.1814380711435746,203.62876142287146,20,1,0,smoke_first,checkout,medium
1,-34.41209816685948,248.24196333718953,20,0,1,api_first,search,small
2,-14.96439237828639,259.2878475657279,20,0,2,ui_first,search,small
3,-3.472325687927232,229.44651375854463,20,1,3,high_risk_first,payments,medium
4,-3.184595962586555,223.69191925173106,20,1,4,baseline_fixed_order,search,medium
5,-17.011831315809836,304.23662631619675,18,1,0,smoke_first,profile,small
6,-14.341514865240583,246.8302973048116,20,0,4,baseline_fixed_order,search,large
7,-15.879030243919345,277.5806048783868,20,0,3,high_risk_first,checkout,small
8,-46.944472631041904,300.8894526208379,19,0,4,baseline_fixed_order,profile,medium
9,-12.202037957891545,204.04075915783085,20,0,0,smoke_first,profile,small
10,-5.601284976365318,272.02569952730636,20,1,3,high_risk_first,profile,medium
11,-27.01579878309841,302.3159756619682,19,0,3,high_risk_first,checkout,large
12,-35.46795078542665,269.35901570853304,20,0,0,smoke_first,notifications,large
13,-33.71589209981623,234.31784199632455,20,0,2,ui_first,payments,small
14,-15.945031554611129,278.90063109222257,20,0,3,high_risk_first,auth,large
15,19.15057908255492,176.98841834890163,20,3,3,high_risk_first,payments,medium
16,-2.385807861257395,207.71615722514792,20,1,3,high_risk_first,search,small
17,-30.59425826051165,171.88516521023305,20,0,3,high_risk_first,search,small
18,-11.746243597580373,194.9248719516074,20,0,3,high_risk_first,auth,medium
19,-16.67515678704696,293.50313574093923,20,0,3,high_risk_first,profile,large
20,-32.89840272040557,217.96805440811144,20,0,3,high_risk_first,notifications,large
21,-12.458589257234408,209.17178514468807,20,0,3,high_risk_first,profile,large
22,-4.521712204910448,250.43424409820898,20,1,3,high_risk_first,notifications,small
23,-12.284289009392477,205.6857801878495,20,0,3,high_risk_first,search,large
24,-13.563843562515377,231.2768712503074,20,0,3,high_risk_first,search,small
25,-36.2772111598423,285.544223196846,20,0,3,high_risk_first,search,small
26,-13.717833834102612,234.3566766820522,20,0,3,high_risk_first,search,large
27,-17.03949344368937,304.7898688737874,18,1,3,high_risk_first,notifications,medium
28,-16.952447075304356,299.04894150608703,20,0,3,high_risk_first,profile,large
29,-14.786461693185148,255.72923386370294,20,0,3,high_risk_first,payments,large
30,-3.825863382552277,236.51726765104553,20,1,3,high_risk_first,checkout,medium
31,-14.651668152378724,253.0333630475744,20,0,3,high_risk_first,checkout,large
32,-13.292979729831046,225.8595945966209,20,0,3,high_risk_first,payments,small
33,-4.8612445539621305,257.2248910792426,20,1,3,high_risk_first,payments,medium
34,-1.671545293594821,193.4309058718964,20,1,3,high_risk_first,notifications,small
35,16.14135343607672,237.17293127846554,20,3,3,high_risk_first,payments,large
36,-13.255758767855168,225.11517535710337,20,0,3,high_risk_first,notifications,medium
37,-27.48022526405738,311.6045052811476,19,0,3,high_risk_first,profile,small
38,-2.0480276730148517,200.96055346029706,20,1,3,high_risk_first,payments,medium
39,-15.065226006732143,261.3045201346429,20,0,3,high_risk_first,profile,medium
40,-12.714203477976548,214.284069559531,20,0,3,high_risk_first,profile,small
41,-14.734806975014097,254.69613950028196,20,0,3,high_risk_first,payments,large
42,-14.772752795171943,255.45505590343876,20,0,3,high_risk_first,auth,medium
43,-13.222018727267,224.44037454534003,20,0,3,high_risk_first,profile,small
44,-15.83842209773201,276.7684419546402,20,0,3,high_risk_first,auth,medium
45,-31.573167267953167,191.46334535906337,20,0,3,high_risk_first,profile,medium
46,3.104303171254327,297.91393657491346,20,2,3,high_risk_first,search,small
47,-14.886436717783202,257.7287343556641,20,0,3,high_risk_first,auth,medium
48,-5.135609002873797,262.71218005747596,20,1,3,high_risk_first,notifications,large
49,-13.778635104527904,235.57270209055804,20,0,3,high_risk_first,profile,small
50,-15.6159173051445,272.31834610288996,20,0,3,high_risk_first,search,medium
51,-32.34970093519783,206.99401870395653,20,0,3,high_risk_first,notifications,large
52,-27.725261630242805,318.505232604856,18,0,3,high_risk_first,notifications,medium
53,-2.4110304872378316,208.22060974475664,20,1,3,high_risk_first,notifications,small
54,7.051995992200627,218.9600801559875,20,2,3,high_risk_first,search,medium
55,-16.30080267805763,286.01605356115255,20,0,3,high_risk_first,checkout,large
56,-11.765500012880347,195.3100002576069,20,0,3,high_risk_first,search,large
57,-14.768913810570046,255.37827621140087,20,0,3,high_risk_first,auth,large
58,-33.18602160790572,223.72043215811433,20,0,3,high_risk_first,search,large
59,3.7443977268028847,285.1120454639423,20,2,3,high_risk_first,auth,small
60,14.769070521756744,264.6185895648653,20,3,3,high_risk_first,checkout,medium
61,-13.713776307519426,234.2755261503885,20,0,3,high_risk_first,checkout,small
62,-14.59853038964301,251.97060779286022,20,0,3,high_risk_first,notifications,small
63,-11.702853716908233,194.05707433816457,20,0,3,high_risk_first,search,large
64,-34.27531068228396,245.5062136456792,20,0,3,high_risk_first,notifications,small
65,-3.4295579547792068,228.5911590955841,20,1,3,high_risk_first,checkout,small
66,-12.742933727397256,214.85867454794513,20,0,3,high_risk_first,search,medium
67,-14.160042887944076,243.20085775888148,20,0,3,high_risk_first,checkout,medium
68,-12.853655044624167,217.07310089248332,20,0,3,high_risk_first,search,large
69,-18.244757748890287,324.89515497780576,20,1,3,high_risk_first,payments,medium
70,-12.349034416362814,206.98068832725627,20,0,3,high_risk_first,search,large
71,-33.786966673990804,235.73933347981605,20,0,3,high_risk_first,notifications,small
72,-15.128077952005684,262.56155904011376,20,0,3,high_risk_first,payments,medium
73,7.401942399668318,211.96115200663365,20,2,3,high_risk_first,auth,medium
74,-14.127694943074893,242.55389886149786,20,0,3,high_risk_first,payments,medium
75,8.757594679545473,184.84810640909052,20,2,3,high_risk_first,search,small
76,-12.89014753389456,217.80295067789118,20,0,3,high_risk_first,profile,large
77,-11.823716656522215,196.47433313044434,20,0,3,high_risk_first,profile,small
78,-9.731349249190865,154.6269849838173,20,0,3,high_risk_first,auth,medium
79,-14.080667366617249,241.61334733234503,20,0,3,high_risk_first,search,large
80,-15.318531109474968,266.37062218949933,20,0,3,high_risk_first,notifications,medium
81,-13.009880704704866,220.19761409409733,20,0,3,high_risk_first,search,medium
82,-12.120361351926151,202.40722703852296,20,0,3,high_risk_first,payments,small
83,-1.5672306857034073,191.34461371406815,20,1,3,high_risk_first,auth,large
84,3.2540901625945162,294.9181967481098,20,2,3,high_risk_first,notifications,medium
85,-10.477213375120435,169.5442675024087,20,0,3,high_risk_first,auth,medium
86,5.329203716582484,253.4159256683503,20,2,3,high_risk_first,search,small
87,-13.198820411729354,223.97640823458704,20,0,3,high_risk_first,payments,large
88,-4.23746066854634,244.7492133709268,20,1,3,high_risk_first,notifications,small
89,-14.93546489924453,258.7092979848905,20,0,3,high_risk_first,payments,medium
90,-3.451459928074348,229.02919856148694,20,1,3,high_risk_first,profile,medium
91,-3.38791590465303,227.75831809306055,20,1,3,high_risk_first,notifications,medium
92,-15.607034037060235,272.1406807412047,20,0,3,high_risk_first,checkout,small
93,-14.396358566179865,247.92717132359724,20,0,3,high_risk_first,search,large
94,-11.400872339657694,188.0174467931538,20,0,3,high_risk_first,payments,large
95,-10.974704012284613,179.49408024569226,20,0,3,high_risk_first,auth,small
96,7.83794985715572,203.24100285688564,20,2,3,high_risk_first,payments,large
97,-14.84111784946193,256.8223569892386,20,0,3,high_risk_first,profile,large
98,-15.792932877591884,275.8586575518376,20,0,3,high_risk_first,profile,medium
99,-13.24562560444807,224.9125120889614,20,0,3,high_risk_first,notifications,small
100,-35.87985680291434,277.5971360582868,20,0,3,high_risk_first,auth,large
101,-1.6690451509724848,193.38090301944965,20,1,3,high_risk_first,profile,medium
102,5.070373239013486,258.5925352197303,20,2,3,high_risk_first,profile,small
103,7.789543343430565,204.20913313138868,20,2,3,high_risk_first,checkout,medium
104,6.801292520765165,223.97414958469668,20,2,3,high_risk_first,auth,small
105,-15.60920542165638,272.1841084331275,20,0,3,high_risk_first,profile,large
106,14.21484957334442,275.7030085331116,20,3,3,high_risk_first,auth,small
107,-35.57496257737055,271.4992515474109,20,0,3,high_risk_first,profile,large
108,-11.036139579669488,180.72279159338973,20,0,3,high_risk_first,profile,medium
109,-13.642617645701927,232.85235291403853,20,0,3,high_risk_first,auth,medium
110,-32.29177885718644,205.83557714372887,20,0,3,high_risk_first,payments,medium
111,-10.346785029495566,166.93570058991128,20,0,3,high_risk_first,checkout,large
112,2.687696775792947,308.246064484141,19,3,3,high_risk_first,notifications,medium
113,-1.0516521289197591,181.03304257839514,20,1,3,high_risk_first,search,small
114,-12.915631143266312,218.31262286532626,20,0,3,high_risk_first,search,large
115,-13.5490641526758,230.981283053516,20,0,3,high_risk_first,auth,large
116,-16.475142145155058,289.5028429031011,20,0,3,high_risk_first,search,small
117,-12.636086315897499,212.72172631795,20,0,3,high_risk_first,search,small
118,-13.334714732890715,226.69429465781425,20,0,3,high_risk_first,checkout,large
119,-14.391420722982973,247.82841445965937,20,0,3,high_risk_first,payments,medium
120,-13.187096337292562,223.74192674585117,20,0,3,high_risk_first,payments,large
121,-14.223118948893319,244.46237897786625,20,0,3,high_risk_first,search,small
122,-12.020311688525068,200.4062337705014,20,0,3,high_risk_first,auth,large
123,19.036506743728225,179.26986512543544,20,3,3,high_risk_first,search,large
124,3.5158062865770754,289.68387426845845,20,2,3,high_risk_first,notifications,large
125,6.846278133739591,223.0744373252081,20,2,3,high_risk_first,profile,large
126,-12.941806368049097,218.83612736098198,20,0,3,high_risk_first,checkout,small
127,-13.233227634869069,224.6645526973813,20,0,3,high_risk_first,search,small
128,-12.889838796497786,217.79677592995577,20,0,3,high_risk_first,search,large
129,-15.387074512697906,267.74149025395815,20,0,3,high_risk_first,payments,large
130,-3.459333289927754,229.18666579855508,20,1,3,high_risk_first,search,medium
131,8.596105244932282,188.0778951013543,20,2,3,high_risk_first,checkout,large
132,-13.838245289661046,236.76490579322095,20,0,3,high_risk_first,checkout,small
133,-15.825127410774696,276.5025482154939,20,0,3,high_risk_first,payments,large
134,-2.410806628929022,208.21613257858047,20,1,3,high_risk_first,auth,medium
135,-10.683547565558076,173.67095131116145,20,0,3,high_risk_first,payments,small
136,16.440086109135986,231.19827781728034,20,3,3,high_risk_first,payments,medium
